Player Name,Archetype,Total MP,Total 3P,Total 3PA,Total 2P,Total 2PA,Total FT,Total FTA,Total ORB,Total DRB,Total AST,Total STL,Total BLK,Total TOV,Total PF,Total PTS
Jared Butler,2,568.0,24.0,80.0,76.0,124.0,32.0,36.0,8.0,48.0,128.0,28.0,8.0,52.0,60.0,252.0
Jaxson Hayes,2,875.0,0.0,7.0,126.0,168.0,49.0,84.0,70.0,140.0,35.0,35.0,28.0,42.0,126.0,301.0
Jaylin Williams,2,897.0,55.2,144.9,41.4,82.8,34.5,41.4,34.5,200.1,110.4,27.6,27.6,34.5,96.6,276.0
Jeff Green,2,1310.4,54.599999999999994,163.8,117.0,202.8,124.80000000000001,148.2,46.8,132.6,70.2,15.600000000000001,31.200000000000003,46.8,101.4,507.0
Jevon Carter,2,1000.8000000000001,79.2,237.6,57.6,129.6,7.2,7.2,14.4,50.4,93.60000000000001,36.0,14.4,36.0,72.0,360.0
Jock Landale,2,761.6,11.200000000000001,39.199999999999996,95.2,168.0,50.4,67.2,89.60000000000001,84.0,67.2,22.400000000000002,33.6,33.6,72.8,274.40000000000003
Joe Ingles,2,1169.6,68.0,163.2,27.200000000000003,68.0,27.200000000000003,34.0,20.4,122.4,204.0,40.8,6.800000000000001,68.0,88.4,299.20000000000005
John Konchar,2,1171.5,38.5,121.00000000000001,49.5,88.0,22.0,27.5,71.5,187.0,110.0,49.5,49.5,44.0,77.0,236.5
Jonathan Isaac,2,916.4000000000001,40.599999999999994,110.19999999999999,104.4,174.0,58.0,81.19999999999999,75.4,185.60000000000002,29.0,40.599999999999994,69.6,29.0,63.800000000000004,394.4
Jordan Hawkins,2,1159.1000000000001,107.2,294.8,67.0,160.79999999999998,67.0,80.39999999999999,26.8,120.60000000000001,67.0,20.099999999999998,6.7,40.199999999999996,73.7,522.6
Jose Alvarado,2,1030.3999999999999,78.39999999999999,207.20000000000002,61.60000000000001,140.0,33.6,50.4,22.400000000000002,100.8,117.60000000000001,61.60000000000001,16.8,39.199999999999996,89.60000000000001,397.59999999999997
Josh Green,2,1504.8,74.10000000000001,188.1,108.3,188.1,39.9,57.0,39.9,142.5,131.1,45.6,11.4,62.7,108.3,467.4
Josh Okogie,2,960.0,30.0,96.0,60.0,114.0,78.0,102.0,72.0,78.0,66.0,48.0,24.0,36.0,66.0,276.0
Josh Richardson,2,1105.1,64.5,189.20000000000002,86.0,159.1,51.6,55.9,17.2,103.2,103.2,25.8,12.9,34.4,77.4,425.7
Julian Champagnie,2,1465.2,103.6,273.8,66.60000000000001,125.8,74.0,88.8,44.4,162.8,103.6,44.4,44.4,59.2,74.0,503.2
Justin Holiday,2,864.2,52.2,133.39999999999998,34.8,58.0,5.800000000000001,5.800000000000001,11.600000000000001,63.800000000000004,69.6,34.8,11.600000000000001,11.600000000000001,69.6,232.0
KJ Martin,2,1488.4,12.8,58.2,180.0,311.8,48.2,84.6,83.6,179.0,107.2,43.4,24.6,61.0,203.6,446.6
Keita Bates-Diop,2,1327.8,42.1,136.9,102.9,192.4,64.69999999999999,83.10000000000001,64.4,158.1,76.39999999999999,52.699999999999996,42.1,28.999999999999996,69.7,394.0
Kenrich Williams,2,1028.1000000000001,55.2,138.0,75.9,138.0,6.9,13.8,62.1,144.9,89.7,41.4,6.9,34.5,103.5,324.3
Keon Ellis,2,980.4,68.39999999999999,165.29999999999998,34.199999999999996,62.7,28.5,34.199999999999996,34.199999999999996,91.2,85.5,51.300000000000004,28.5,34.199999999999996,114.0,307.8
Kevin Love,2,924.0,82.5,242.00000000000003,71.5,115.5,82.5,110.0,60.50000000000001,280.5,115.5,16.5,11.0,49.5,99.0,484.00000000000006
Kevon Looney,2,1191.4,0.0,0.0,140.6,229.4,59.2,81.4,140.6,273.8,133.20000000000002,29.6,29.6,51.8,155.4,333.0
Killian Hayes,2,1008.0,21.0,75.60000000000001,96.6,210.0,33.6,50.4,12.6,109.2,205.8,37.800000000000004,21.0,50.4,75.60000000000001,289.8
Kris Dunn,2,1247.3999999999999,39.6,112.2,105.60000000000001,204.6,19.8,33.0,52.800000000000004,138.6,250.79999999999998,66.0,26.400000000000002,79.2,132.0,356.40000000000003
Kris Murray,2,1345.3999999999999,49.6,186.0,93.0,186.0,37.199999999999996,55.800000000000004,86.8,136.4,80.60000000000001,55.800000000000004,18.599999999999998,55.800000000000004,93.0,378.2
LaMelo Ball,2,710.5999999999999,70.4,198.0,112.19999999999999,226.60000000000002,90.19999999999999,103.4,28.6,83.6,176.0,39.6,4.4,83.6,79.2,525.8
Lamar Stevens,2,1117.2,30.400000000000002,91.2,188.1,387.6,83.60000000000001,108.29999999999998,70.30000000000001,182.4,55.1,45.6,45.6,47.5,89.30000000000001,545.3
