Player Name,Archetype,Total MP,Total 3P,Total 3PA,Total 2P,Total 2PA,Total FT,Total FTA,Total ORB,Total DRB,Total AST,Total STL,Total BLK,Total TOV,Total PF,Total PTS
A.J. Green,0,616.0,67.2,168.0,16.8,28.0,16.8,16.8,11.200000000000001,56.0,28.0,11.200000000000001,5.6000000000000005,11.200000000000001,50.4,252.0
A.J. Lawson,0,310.8,12.6,50.4,42.0,71.39999999999999,16.8,21.0,12.6,37.800000000000004,21.0,8.4,4.2,12.6,21.0,134.4
AJ Griffin,0,172.0,10.0,40.0,8.0,24.0,2.0,2.0,2.0,16.0,6.0,2.0,2.0,8.0,6.0,48.0
Adam Flagler,0,14.0,1.0,6.0,0.0,1.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,3.0
Adama Sanogo,0,65.7,0.0,0.0,14.4,27.0,8.1,11.700000000000001,18.900000000000002,17.099999999999998,0.0,0.9,0.0,5.3999999999999995,5.3999999999999995,36.0
Admiral Schofield,0,85.10000000000001,6.8999999999999995,16.099999999999998,4.6000000000000005,9.200000000000001,0.0,2.3000000000000003,2.3000000000000003,13.799999999999999,6.8999999999999995,0.0,0.0,4.6000000000000005,9.200000000000001,25.3
Alex Fudge,0,80.2,2.2,9.8,10.0,20.2,3.8,3.8,8.2,2.2,0.0,6.0,0.0,4.0,4.0,30.0
Alex Len,0,446.40000000000003,0.0,4.800000000000001,48.0,76.80000000000001,19.200000000000003,33.599999999999994,48.0,81.6,48.0,9.600000000000001,33.599999999999994,28.799999999999997,67.19999999999999,120.0
Alondes Williams,0,16.099999999999998,0.0,4.2,2.1,4.2,0.7000000000000001,0.7000000000000001,0.0,0.7000000000000001,0.0,0.0,0.7000000000000001,2.1,2.1,4.8999999999999995
Amari Bailey,0,65.0,1.0,8.0,7.0,16.0,6.0,7.0,6.0,3.0,7.0,3.0,0.0,4.0,2.0,23.0
Andre Jackson Jr.,0,570.0,17.099999999999998,45.6,34.199999999999996,51.300000000000004,5.7,11.4,45.6,68.39999999999999,51.300000000000004,17.099999999999998,5.7,28.5,91.2,125.4
Andrew Funk,0,13.0,0.0,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0
Anthony Gill,0,465.00000000000006,10.0,40.0,65.0,120.0,30.0,35.0,35.0,55.00000000000001,35.0,15.0,10.0,25.0,50.0,190.0
Armoni Brooks,0,104.0,11.0,32.0,4.0,14.0,1.0,2.0,7.0,11.0,5.0,1.0,1.0,3.0,3.0,42.0
Ashton Hagans,0,315.40000000000003,7.6000000000000005,24.7,20.900000000000002,45.6,13.299999999999999,17.1,13.299999999999999,30.400000000000002,53.199999999999996,11.4,9.5,30.400000000000002,39.9,79.8
Ben Simmons,0,358.5,0.0,0.0,43.5,73.5,6.0,15.0,31.5,88.5,85.5,12.0,9.0,27.0,36.0,91.5
Boban Marjanovi?,0,71.39999999999999,0.0,1.4000000000000001,18.2,32.199999999999996,8.4,14.0,7.0,25.2,5.6000000000000005,1.4000000000000001,1.4000000000000001,5.6000000000000005,5.6000000000000005,44.800000000000004
Bol Bol,0,468.7,21.5,51.6,73.1,98.89999999999999,12.9,17.2,30.099999999999998,103.2,17.2,8.6,25.8,17.2,43.0,223.6
Bones Hyland,0,540.1999999999999,44.4,133.20000000000002,51.8,114.7,18.5,22.2,3.7,51.8,92.5,25.9,3.7,44.4,51.8,255.3
Brandon Boston Jr.,0,345.6,12.8,51.2,51.2,108.8,22.4,32.0,19.2,32.0,12.8,9.6,9.6,25.6,41.6,166.4
Brandon Clarke,0,133.8,1.2000000000000002,6.0,31.799999999999997,52.800000000000004,1.2000000000000002,7.199999999999999,13.200000000000001,19.200000000000003,9.0,4.800000000000001,6.0,3.0,7.800000000000001,67.80000000000001
Brandon Williams,0,112.19999999999999,3.4000000000000004,15.3,17.0,39.099999999999994,10.2,17.0,3.4000000000000004,8.5,17.0,1.7000000000000002,1.7000000000000002,6.800000000000001,3.4000000000000004,54.400000000000006
Braxton Key,0,60.0,2.0,6.0,6.0,12.0,6.0,8.0,4.0,16.0,10.0,2.0,2.0,2.0,6.0,22.0
Brice Sensabaugh,0,585.6,35.2,115.2,51.2,102.4,38.4,41.6,16.0,86.4,54.4,12.8,6.4,48.0,41.6,240.0
Buddy Boeheim,0,84.0,8.0,25.0,1.0,4.0,8.0,10.0,3.0,7.0,3.0,0.0,1.0,0.0,5.0,34.0
Caleb Houstan,0,814.2,70.8,194.7,5.9,11.8,23.6,23.6,29.5,53.1,29.5,17.7,5.9,17.7,59.0,253.7
Charles Bassey,0,205.20000000000002,0.0,1.9000000000000001,28.5,39.9,5.7,5.7,22.8,53.199999999999996,20.900000000000002,7.6000000000000005,17.1,15.200000000000001,30.400000000000002,62.699999999999996
Charlie Brown Jr.,0,36.8,2.4,7.2,0.0,3.2,0.0,0.0,0.8,0.8,0.0,0.0,2.4,2.4,4.8,6.4
Chris Livingston,0,90.3,0.0,4.2,10.5,16.8,2.1,4.2,2.1,18.900000000000002,4.2,2.1,0.0,4.2,14.7,25.2
Chuma Okeke,0,432.4,23.5,79.89999999999999,18.8,28.2,4.7,4.7,18.8,61.1,18.8,9.4,4.7,14.1,18.8,108.1
Cody Zeller,0,318.2,0.0,4.3,25.8,60.199999999999996,21.5,38.7,47.300000000000004,64.5,38.7,8.6,4.3,17.2,43.0,77.4
Colby Jones,0,192.0,3.0,21.0,27.0,48.0,6.0,12.0,18.0,24.0,21.0,6.0,6.0,9.0,30.0,63.0
Cole Swider,0,86.39999999999999,10.799999999999999,30.599999999999998,5.3999999999999995,7.2,1.8,1.8,1.8,5.3999999999999995,5.3999999999999995,1.8,1.8,7.2,3.6,41.4
Colin Castleton,0,59.2,0.0,0.0,9.6,16.0,6.4,6.4,6.4,6.4,3.2,1.6,0.0,3.2,11.2,24.0
Collin Gillespie,0,225.60000000000002,14.399999999999999,38.400000000000006,16.799999999999997,31.200000000000003,7.199999999999999,12.0,0.0,19.200000000000003,26.400000000000002,12.0,0.0,14.399999999999999,24.0,86.4
Cory Joseph,0,296.40000000000003,13.0,41.6,10.4,20.8,5.2,7.8,5.2,23.400000000000002,41.6,5.2,2.6,13.0,26.0,62.4
D'Moi Hodge,0,41.300000000000004,2.8000000000000003,11.9,2.1,2.8000000000000003,0.7000000000000001,2.1,0.0,0.0,4.8999999999999995,0.7000000000000001,0.7000000000000001,0.7000000000000001,4.2,14.0
D.J. Carton,0,36.0,1.2,4.0,2.0,4.0,4.0,5.2,2.0,2.0,3.2,1.2,0.0,1.2,3.2,11.2
D.J. Wilson,0,15.0,2.0,2.0,2.0,4.0,0.0,0.0,1.0,1.0,2.0,0.0,2.0,0.0,1.0,10.0
DaQuan Jeffries,0,45.900000000000006,1.7000000000000002,10.2,3.4000000000000004,6.800000000000001,0.0,1.7000000000000002,0.0,5.1,5.1,0.0,1.7000000000000002,3.4000000000000004,1.7000000000000002,13.600000000000001
Daishen Nix,0,49.5,6.0,16.5,3.0,7.5,3.0,6.0,1.5,1.5,6.0,4.5,0.0,4.5,1.5,27.0
Damian Jones,0,269.1,3.9000000000000004,15.600000000000001,39.0,58.5,19.5,19.5,19.5,42.900000000000006,15.600000000000001,7.800000000000001,11.7,11.7,27.299999999999997,105.30000000000001
Danny Green,0,18.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,2.0,1.0,1.0,0.0,0.0,1.0,0.0
Danuel House Jr.,0,510.0,13.600000000000001,51.0,30.6,54.400000000000006,34.0,47.599999999999994,17.0,40.8,27.200000000000003,13.600000000000001,3.4000000000000004,20.4,44.2,142.8
Dariq Whitehead,0,24.0,0.0,3.0,1.0,2.0,1.0,2.0,0.0,4.0,3.0,0.0,1.0,0.0,0.0,3.0
Darius Bazley,0,304.2,3.5999999999999996,15.9,32.400000000000006,43.5,20.1,23.700000000000003,15.9,39.900000000000006,14.100000000000001,12.3,14.399999999999999,16.2,5.699999999999999,95.69999999999999
David Duke Jr.,0,51.2,3.2,6.0,7.2,12.0,3.2,3.2,2.0,8.0,5.2,2.0,0.0,3.2,4.0,26.0
DeAndre Jordan,0,396.0,0.0,0.0,57.6,93.60000000000001,25.2,54.0,54.0,104.39999999999999,25.2,7.2,14.4,21.599999999999998,57.6,140.4
DeJon Jarreau,0,150.29999999999998,3.6,12.6,12.6,36.9,5.3999999999999995,10.799999999999999,8.1,36.0,26.099999999999998,6.3,1.8,9.0,14.4,43.199999999999996
Dereon Seabron,0,55.199999999999996,1.2000000000000002,1.7999999999999998,3.0,10.8,4.800000000000001,6.0,1.2000000000000002,6.0,4.800000000000001,1.7999999999999998,1.2000000000000002,0.0,4.199999999999999,13.799999999999999
Derrick Rose,0,398.40000000000003,14.399999999999999,40.8,60.0,124.80000000000001,24.0,26.400000000000002,7.199999999999999,38.400000000000006,79.19999999999999,7.199999999999999,2.4000000000000004,31.200000000000003,21.6,192.0
Devonte' Graham,0,312.8,25.3,82.8,13.799999999999999,25.3,13.799999999999999,16.099999999999998,4.6000000000000005,29.900000000000002,48.300000000000004,9.200000000000001,2.3000000000000003,16.099999999999998,13.799999999999999,115.0
Dexter Dennis,0,30.0,1.2,8.0,9.2,11.2,1.2,3.2,1.2,8.0,4.0,0.0,1.2,3.2,1.2,22.0
Dmytro Skapintsev,0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Dominick Barlow,0,419.09999999999997,3.3000000000000003,9.9,52.800000000000004,105.60000000000001,29.7,42.9,46.199999999999996,69.3,36.300000000000004,13.200000000000001,13.200000000000001,9.9,46.199999999999996,145.20000000000002
Drew Peterson,0,23.1,3.0,5.1,0.8999999999999999,0.8999999999999999,0.0,0.0,0.0,0.8999999999999999,0.8999999999999999,2.0999999999999996,0.0,0.8999999999999999,0.8999999999999999,11.100000000000001
Dru Smith,0,131.4,7.2,17.099999999999998,8.1,16.2,1.8,1.8,6.3,8.1,14.4,9.0,2.6999999999999997,5.3999999999999995,11.700000000000001,38.699999999999996
Dylan Windler,0,216.9,26.300000000000004,54.1,3.5,6.0,0.0,0.0,6.4,26.700000000000003,20.5,3.5,0.0,3.5,13.100000000000001,85.7
E.J. Liddell,0,23.2,0.0,4.8,0.8,0.8,2.4,2.4,0.0,4.8,0.8,2.4,2.4,2.4,2.4,4.0
Emoni Bates,0,133.5,10.5,33.0,4.5,16.5,1.5,4.5,1.5,13.5,10.5,1.5,1.5,7.5,4.5,40.5
Eugene Omoruyi,0,391.3,12.9,47.300000000000004,68.8,120.39999999999999,30.099999999999998,47.300000000000004,34.4,51.6,34.4,25.8,4.3,21.5,60.199999999999996,206.4
Filip PetruÂev,0,19.9,0.0,0.0,1.9,4.1,1.9,4.1,0.0,1.9,0.0,0.0,0.0,0.0,1.9,6.0
Frank Ntilikina,0,43.0,1.0,8.0,0.0,1.0,2.0,2.0,1.0,5.0,4.0,0.0,0.0,1.0,4.0,5.0
Furkan Korkmaz,0,301.0,14.0,38.5,17.5,35.0,14.0,21.0,3.5,24.5,24.5,14.0,3.5,10.5,17.5,87.5
Gabe Vincent,0,217.8,3.3,27.5,12.100000000000001,20.9,1.1,2.2,4.4,5.5,20.9,8.8,0.0,5.5,18.7,34.1
Garrett Temple,0,288.9,10.8,40.5,16.2,37.8,18.9,21.6,18.9,27.0,27.0,10.8,2.7,13.5,27.0,89.1
Greg Brown III,0,40.2,1.2000000000000002,3.0,4.199999999999999,7.800000000000001,4.199999999999999,9.0,3.0,6.0,4.199999999999999,0.0,4.199999999999999,4.199999999999999,4.800000000000001,15.0
Gui Santos,0,190.9,9.200000000000001,27.599999999999998,18.400000000000002,27.599999999999998,16.099999999999998,16.099999999999998,16.099999999999998,32.199999999999996,13.799999999999999,4.6000000000000005,2.3000000000000003,6.8999999999999995,23.0,82.8
Hamidou Diallo,0,5.0,0.0,0.0,1.0,2.0,0.0,0.0,2.0,0.0,1.0,2.0,0.0,1.0,1.0,2.0
Harry Giles,0,199.39999999999998,5.5,27.799999999999997,40.6,73.2,13.3,26.6,24.3,37.0,13.3,4.6000000000000005,5.5,13.3,30.5,111.69999999999999
Henri Drell,0,30.0,2.0,6.0,2.0,4.0,1.2,2.0,1.2,3.2,4.0,2.0,1.2,2.0,6.0,11.2
Hunter Tyson,0,48.6,3.6,14.4,3.6,5.3999999999999995,0.0,0.0,1.8,7.2,1.8,1.8,0.0,1.8,10.799999999999999,19.8
Ibou Badji,0,226.60000000000002,0.0,0.0,13.2,22.0,6.6,11.0,19.8,30.799999999999997,13.2,2.2,19.8,15.399999999999999,46.2,33.0
Isaiah Livers,0,469.2,23.0,75.89999999999999,18.400000000000002,39.1,11.5,18.400000000000002,16.099999999999998,32.199999999999996,25.3,13.799999999999999,4.6000000000000005,16.099999999999998,43.699999999999996,115.0
Isaiah Mobley,0,72.0,3.0,10.0,7.0,14.0,0.0,1.0,3.0,7.0,6.0,2.0,0.0,2.0,6.0,23.0
Isaiah Thomas,0,19.200000000000003,1.7999999999999998,4.199999999999999,1.2000000000000002,6.0,0.0,0.0,0.0,0.0,3.0,0.0,0.0,0.0,0.0,7.800000000000001
Isaiah Wong,0,4.0,0.0,1.0,1.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0
Ish Smith,0,739.6,4.3,8.6,60.199999999999996,150.5,4.3,4.3,12.9,64.5,146.2,17.2,4.3,47.300000000000004,47.300000000000004,137.6
Ish Wainright,0,123.79999999999998,14.1,39.9,0.0,8.5,4.300000000000001,4.300000000000001,6.5,22.1,2.3,8.5,1.8000000000000003,4.1,15.899999999999999,46.6
Izaiah Brockington,0,3.0,0.0,1.0,2.0,4.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,4.0
JD Davison,0,39.2,3.2,7.2,2.4,4.8,3.2,4.0,2.4,8.0,10.4,0.8,0.8,2.4,4.0,16.0
JT Thor,0,781.2,25.200000000000003,81.9,50.400000000000006,100.80000000000001,12.600000000000001,18.9,44.099999999999994,100.80000000000001,31.5,12.600000000000001,25.200000000000003,12.600000000000001,63.0,201.60000000000002
Ja Morant,0,317.7,14.4,51.300000000000004,65.7,118.8,52.199999999999996,63.9,6.3,44.1,72.89999999999999,7.2,5.3999999999999995,27.0,18.900000000000002,225.9
JaVale McGee,0,340.40000000000003,0.0,9.200000000000001,78.2,124.2,27.599999999999998,46.0,41.4,82.8,18.400000000000002,13.799999999999999,18.400000000000002,32.199999999999996,46.0,184.0
Jack White,0,64.0,2.0,10.0,0.0,6.0,0.0,0.0,4.0,8.0,1.2,4.0,1.2,2.0,3.2,6.0
Jacob Toppin,0,37.800000000000004,0.9,3.6,3.6,5.3999999999999995,1.8,1.8,2.6999999999999997,3.6,2.6999999999999997,0.0,0.9,0.9,2.6999999999999997,12.6
Jahmi'us Ramsey,0,121.10000000000001,6.3,21.7,11.9,18.900000000000002,4.8999999999999995,6.3,4.2,18.2,7.700000000000001,7.0,0.0,7.0,9.799999999999999,46.9
