Player Name,Archetype,Total MP,Total 3P,Total 3PA,Total 2P,Total 2PA,Total FT,Total FTA,Total ORB,Total DRB,Total AST,Total STL,Total BLK,Total TOV,Total PF,Total PTS
Alec Burks,1,2427.8999999999996,249.6,657.9,171.29999999999998,477.2,288.6,330.5,50.5,252.2,175.29999999999998,54.800000000000004,26.1,92.39999999999999,148.60000000000002,1377.6999999999998
Austin Reaves,1,2632.2000000000003,155.79999999999998,418.2,303.40000000000003,516.6,229.6,270.59999999999997,57.4,295.2,451.0,65.60000000000001,24.599999999999998,172.20000000000002,155.79999999999998,1303.8
Bogdan Bogdanovi?,1,2401.6,237.0,639.9,229.1,458.2,150.1,165.9,55.3,221.2,244.9,94.8,23.7,110.6,181.7,1335.1
Bojan Bogdanovi?,1,2954.2999999999997,264.3,671.1,352.5,693.7,235.7,298.20000000000005,45.5,261.6,193.0,56.7,8.5,204.7,190.6,1733.6
Brandon Ingram,1,2105.6,83.2,243.2,416.0,774.4,243.2,307.2,44.8,281.6,364.8,51.2,38.4,160.0,147.2,1331.2
Brandon Miller,1,2382.8,185.0,495.8,288.59999999999997,592.0,140.6,170.2,59.2,251.6,177.6,66.60000000000001,44.4,133.20000000000002,185.0,1280.2
Buddy Hield,1,4320.799999999999,436.8,1141.1999999999998,305.6,568.4,102.0,115.6,120.8,418.8,471.6,134.4,82.8,204.8,339.2,2030.8
CJ McCollum,1,2158.2000000000003,237.6,554.4,244.20000000000002,495.0,112.2,138.6,39.6,244.20000000000002,303.59999999999997,59.4,39.6,112.2,125.39999999999999,1320.0
Cade Cunningham,1,2077.0,117.8,334.8,403.0,830.8000000000001,235.6,272.8,31.0,235.6,465.0,55.800000000000004,24.8,210.79999999999998,155.0,1407.3999999999999
Cam Thomas,1,2072.4,145.20000000000002,396.0,382.8,792.0,283.8,336.59999999999997,26.400000000000002,184.79999999999998,191.4,46.199999999999996,13.200000000000001,125.39999999999999,138.6,1485.0
Cameron Payne,1,2604.3,205.8,533.2,204.20000000000002,423.90000000000003,113.89999999999999,134.20000000000002,43.599999999999994,190.3,407.0,81.1,21.8,129.4,252.70000000000002,1156.9
Coby White,1,2883.5,205.4,553.0,331.8,655.7,221.2,260.7,47.4,316.0,402.9,55.3,15.8,165.9,189.6,1508.9
